region 437: cartogram area = -120.024978, relative error = -0.000400
region 439: cartogram area = -89.414236, relative error = -0.000378
region 440: cartogram area = -83.483742, relative error = 0.000990
region 441: cartogram area = -80.596799, relative error = -0.001364
region 442: cartogram area = -65.820024, relative error = 0.001626
region 443: cartogram area = -133.666572, relative error = -0.001702
region 444: cartogram area = -150.830468, relative error = 0.002110
region 445: cartogram area = -138.517969, relative error = -0.002400
region 446: cartogram area = -71.309580, relative error = 0.002922
region 447: cartogram area = -36.181560, relative error = -0.003308
region 448: cartogram area = -36.706976, relative error = 0.005469
region 450: cartogram area = -33.337120, relative error = -0.005605
region 451: cartogram area = -37.059592, relative error = 0.007184
region 452: cartogram area = -44.844632, relative error = -0.006668
region 453: cartogram area = -42.301947, relative error = 0.007217
region 454: cartogram area = -45.545945, relative error = -0.006522
region 455: cartogram area = -53.387878, relative error = 0.006491
region 456: cartogram area = -44.727316, relative error = -0.006097
region 457: cartogram area = -41.305867, relative error = 0.008187
region 458: cartogram area = -47.169664, relative error = -0.006322
region 459: cartogram area = -53.830764, relative error = 0.005097
region 461: cartogram area = -268.056377, relative error = -0.003364
region 462: cartogram area = -185.971677, relative error = 0.004222
region 463: cartogram area = -226.339279, relative error = -0.002836
region 464: cartogram area = -254.664909, relative error = 0.002421
region 465: cartogram area = -238.889672, relative error = -0.002070
region 466: cartogram area = -196.381199, relative error = 0.001692
region 467: cartogram area = -118.606073, relative error = -0.001442
region 468: cartogram area = -109.316368, relative error = 0.001131
region 469: cartogram area = -94.977348, relative error = -0.000901
region 470: cartogram area = -92.221860, relative error = 0.000416
region 472: cartogram area = -64.346148, relative error = 0.000491
region 473: cartogram area = -125.180559, relative error = -0.000931
region 474: cartogram area = -176.425896, relative error = 0.001155
region 475: cartogram area = -131.536019, relative error = -0.001509
region 476: cartogram area = -84.132006, relative error = 0.001845
region 477: cartogram area = -30.830245, relative error = -0.002675
region 478: cartogram area = -38.520339, relative error = 0.004222
region 479: cartogram area = -37.314247, relative error = -0.004263
region 480: cartogram area = -34.598907, relative error = 0.004306
region 481: cartogram area = -37.861182, relative error = -0.004421
region 483: cartogram area = -37.740336, relative error = 0.006003
region 484: cartogram area = -45.647371, relative error = -0.004310
region 485: cartogram area = -48.119114, relative error = 0.006267
region 486: cartogram area = -48.197262, relative error = -0.005783
region 487: cartogram area = -43.604922, relative error = 0.007168
region 488: cartogram area = -40.372477, relative error = -0.007119
region 489: cartogram area = -53.141369, relative error = 0.004961
region 490: cartogram area = -159.691520, relative error = -0.004837
region 491: cartogram area = -228.474474, relative error = 0.004569
region 492: cartogram area = -141.645902, relative error = -0.006366
region 494: cartogram area = -250.341406, relative error = 0.004100
region 495: cartogram area = -223.485308, relative error = -0.003490
region 496: cartogram area = -158.243159, relative error = 0.002978
region 497: cartogram area = -112.826006, relative error = -0.002429
region 498: cartogram area = -113.351648, relative error = 0.002219
region 499: cartogram area = -97.999960, relative error = -0.002137
region 500: cartogram area = -92.342431, relative error = 0.001724
region 501: cartogram area = -61.677185, relative error = -0.001409
region 502: cartogram area = -48.682557, relative error = 0.000831
region 503: cartogram area = -108.273501, relative error = -0.000323
region 505: cartogram area = -157.626586, relative error = -0.000409
region 506: cartogram area = -93.553626, relative error = 0.000795
region 507: cartogram area = -42.301955, relative error = -0.001584
region 508: cartogram area = -34.874981, relative error = 0.002741
region 509: cartogram area = -35.724908, relative error = -0.002894
region 510: cartogram area = -31.668692, relative error = 0.003745
region 511: cartogram area = -38.969049, relative error = -0.003843
region 512: cartogram area = -39.710377, relative error = 0.004544
region 513: cartogram area = -33.449394, relative error = -0.005307
region 514: cartogram area = -42.893218, relative error = 0.004085
region 516: cartogram area = -48.471934, relative error = -0.004762
region 517: cartogram area = -45.243859, relative error = 0.005841
region 518: cartogram area = -40.656692, relative error = -0.006162
region 519: cartogram area = -48.024803, relative error = 0.005592
region 520: cartogram area = -114.005990, relative error = -0.003950
region 521: cartogram area = -270.379414, relative error = 0.004121
region 522: cartogram area = -171.732616, relative error = -0.005869
region 523: cartogram area = -209.064150, relative error = 0.004822
region 524: cartogram area = -233.877952, relative error = -0.004706
region 525: cartogram area = -201.418084, relative error = 0.004722
region 528: cartogram area = -113.356467, relative error = -0.004437
region 529: cartogram area = -102.316686, relative error = 0.003971
region 530: cartogram area = -68.867450, relative error = -0.003463
region 531: cartogram area = -45.878676, relative error = 0.003437
region 532: cartogram area = -47.321260, relative error = -0.003129
region 533: cartogram area = -106.858668, relative error = 0.002027
region 534: cartogram area = -210.366475, relative error = -0.001454
region 535: cartogram area = -202.912542, relative error = 0.001186
region 536: cartogram area = -110.984688, relative error = -0.000904
region 537: cartogram area = -58.246355, relative error = 0.000339
region 539: cartogram area = -33.031405, relative error = 0.000623
region 540: cartogram area = -35.761091, relative error = -0.001310
region 541: cartogram area = -39.416335, relative error = 0.001797
region 542: cartogram area = -44.448397, relative error = -0.002263
region 543: cartogram area = -38.196381, relative error = 0.002766
region 544: cartogram area = -41.522714, relative error = -0.003529
region 545: cartogram area = -51.814808, relative error = 0.003688
region 546: cartogram area = -49.926881, relative error = -0.003913
region 547: cartogram area = -47.455589, relative error = 0.004926
region 548: cartogram area = -45.123814, relative error = -0.005468
region 550: cartogram area = -63.071698, relative error = 0.004116
region 551: cartogram area = -198.894585, relative error = -0.003777
region 552: cartogram area = -170.070842, relative error = 0.004728
region 553: cartogram area = -172.296262, relative error = -0.004739
region 554: cartogram area = -210.173256, relative error = 0.004394
region 555: cartogram area = -171.663118, relative error = -0.004256
region 556: cartogram area = -147.054778, relative error = 0.004900
region 557: cartogram area = -141.934977, relative error = -0.005056
region 558: cartogram area = -121.067706, relative error = 0.005013
region 559: cartogram area = -104.486869, relative error = -0.004664
region 561: cartogram area = -44.006426, relative error = 0.006402
region 562: cartogram area = -44.060051, relative error = -0.004083
region 563: cartogram area = -107.212426, relative error = 0.002830
region 564: cartogram area = -234.650144, relative error = -0.002205
region 565: cartogram area = -207.731529, relative error = 0.002281
region 566: cartogram area = -134.338723, relative error = -0.001895
region 567: cartogram area = -100.703464, relative error = 0.001686
region 568: cartogram area = -38.981657, relative error = -0.001421
